,code,name,date,weight
388,000401,冀东水泥,2017-06-01,0.3
389,000050,深天马Ａ,2017-06-01,0.25
390,000031,中粮地产,2017-06-01,0.22
391,000006,深振业Ａ,2017-06-01,0.22
392,600064,南京高科,2017-06-01,0.22
393,002250,联化科技,2017-06-01,0.21
394,000426,兴业矿业,2017-06-01,0.12
395,600125,铁龙物流,2017-06-01,0.21
396,601002,晋亿实业,2017-06-01,0.11
397,002155,湖南黄金,2017-06-01,0.18
398,000600,建投能源,2017-06-01,0.24
399,600848,上海临港,2017-06-01,0.15
400,600251,冠农股份,2017-06-01,0.09
401,002340,格林美,2017-06-01,0.36
402,000959,首钢股份,2017-06-01,0.29
403,600503,华丽家族,2017-06-01,0.26
404,002663,普邦股份,2017-06-01,0.14
405,002056,横店东磁,2017-06-01,0.15
406,600826,兰生股份,2017-06-01,0.1
407,002309,中利集团,2017-06-01,0.11
408,002051,中工国际,2017-06-01,0.24
409,002029,七 匹 狼,2017-06-01,0.12
410,000810,创维数字,2017-06-01,0.15
411,600850,华东电脑,2017-06-01,0.12
412,600496,精工钢构,2017-06-01,0.16
413,002512,达华智能,2017-06-01,0.18
414,600743,华远地产,2017-06-01,0.11
415,600618,氯碱化工,2017-06-01,0.06
416,002358,森源电气,2017-06-01,0.18
417,000552,靖远煤电,2017-06-01,0.13
418,300266,兴源环境,2017-06-01,0.35
419,600426,华鲁恒升,2017-06-01,0.33
420,000587,金洲慈航,2017-06-01,0.17
421,600259,广晟有色,2017-06-01,0.15
422,002505,大康农业,2017-06-01,0.16
423,300115,长盈精密,2017-06-01,0.42
424,002251,步 步 高,2017-06-01,0.09
425,000488,晨鸣纸业,2017-06-01,0.29
426,600823,世茂股份,2017-06-01,0.15
427,600516,方大炭素,2017-06-01,0.3
428,600655,豫园股份,2017-06-01,0.32
429,600517,置信电气,2017-06-01,0.14
430,600499,科达洁能,2017-06-01,0.24
431,000089,深圳机场,2017-06-01,0.26
432,603198,迎驾贡酒,2017-06-01,0.12
433,000519,中兵红箭,2017-06-01,0.18
434,002122,天马股份,2017-06-01,0.17
