code,name,date,weight,abbr,symbol
600276,恒瑞医药,2017-09-01,0.87,hryy,600276.ss
600871,石化油服,2017-09-01,0.05,shyf,600871.ss
002415,海康威视,2017-09-01,1.12,hkws,002415.sz
600008,首创股份,2017-09-01,0.15,scgf,600008.ss
000008,神州高铁,2017-09-01,0.12,szgt,000008.sz
600977,中国电影,2017-09-01,0.09,zgdy,600977.ss
601919,中远海控,2017-09-01,0.28,zyhk,601919.ss
601669,中国电建,2017-09-01,0.34,zgdj,601669.ss
000568,泸州老窖,2017-09-01,0.36,lzlj,000568.sz
002183,怡 亚 通,2017-09-01,0.11,yyt,002183.sz
600048,保利地产,2017-09-01,0.67,bldc,600048.ss
002044,美年健康,2017-09-01,0.18,mnjk,002044.sz
600050,中国联通,2017-09-01,0.62,zglt,600050.ss
601866,中远海发,2017-09-01,0.12,zyhf,601866.ss
300024,机器人,2017-09-01,0.23,jqr,300024.sz
600038,中直股份,2017-09-01,0.09,zzgf,600038.ss
002304,洋河股份,2017-09-01,0.49,yhgf,002304.sz
600446,金证股份,2017-09-01,0.09,jzgf,600446.ss
000415,渤海金控,2017-09-01,0.12,bhjk,000415.sz
601155,新城控股,2017-09-01,0.15,xckg,601155.ss
601333,广深铁路,2017-09-01,0.16,gstl,601333.ss
600893,航发动力,2017-09-01,0.26,hfdl,600893.ss
002174,游族网络,2017-09-01,0.08,yzwl,002174.sz
601872,招商轮船,2017-09-01,0.1,zslc,601872.ss
002202,金风科技,2017-09-01,0.23,jfkj,002202.sz
002352,顺丰控股,2017-09-01,0.1,sfkg,002352.sz
002465,海格通信,2017-09-01,0.17,hgtx,002465.sz
000060,中金岭南,2017-09-01,0.2,zjln,000060.sz
002241,歌尔股份,2017-09-01,0.39,gegf,002241.sz
002153,石基信息,2017-09-01,0.07,sjxx,002153.sz
600010,包钢股份,2017-09-01,0.36,bggf,600010.ss
000625,长安汽车,2017-09-01,0.25,caqc,000625.sz
002024,苏宁云商,2017-09-01,0.4,snys,002024.sz
000725,京东方Ａ,2017-09-01,0.84,jdfＡ,000725.sz
300072,三聚环保,2017-09-01,0.27,sjhb,300072.sz
600100,同方股份,2017-09-01,0.23,tfgf,600100.ss
600009,上海机场,2017-09-01,0.34,shjc,600009.ss
300144,宋城演艺,2017-09-01,0.13,scyy,300144.sz
300070,碧水源,2017-09-01,0.33,bsy,300070.sz
601127,小康股份,2017-09-01,0.03,xkgf,601127.ss
600704,物产中大,2017-09-01,0.12,wczd,600704.ss
002475,立讯精密,2017-09-01,0.25,lxjm,002475.sz
600827,百联股份,2017-09-01,0.11,blgf,600827.ss
600031,三一重工,2017-09-01,0.27,syzg,600031.ss
002236,大华股份,2017-09-01,0.33,dhgf,002236.sz
002426,胜利精密,2017-09-01,0.14,sljm,002426.sz
600660,福耀玻璃,2017-09-01,0.29,fybl,600660.ss
000738,航发控制,2017-09-01,0.08,hfkz,000738.sz
000538,云南白药,2017-09-01,0.41,ynby,000538.sz
000156,华数传媒,2017-09-01,0.08,hscm,000156.sz
600436,片仔癀,2017-09-01,0.15,pzh,600436.ss
002841,视源股份,2017-09-01,0.03,sygf,002841.sz
601718,际华集团,2017-09-01,0.11,jhjt,601718.ss
600406,国电南瑞,2017-09-01,0.22,gdnr,600406.ss
002299,圣农发展,2017-09-01,0.07,snfz,002299.sz
600352,浙江龙盛,2017-09-01,0.24,zjls,600352.ss
601966,玲珑轮胎,2017-09-01,0.04,lllt,601966.ss
600637,东方明珠,2017-09-01,0.26,dfmz,600637.ss
600376,首开股份,2017-09-01,0.11,skgf,600376.ss
600737,中粮糖业,2017-09-01,0.09,zlty,600737.ss
601117,中国化学,2017-09-01,0.13,zghx,601117.ss
601998,中信银行,2017-09-01,0.18,zxyh,601998.ss
600739,辽宁成大,2017-09-01,0.21,lncd,600739.ss
002424,贵州百灵,2017-09-01,0.07,gzbl,002424.sz
000671,阳 光 城,2017-09-01,0.09,ygc,000671.sz
600895,张江高科,2017-09-01,0.12,zjgk,600895.ss
000627,天茂集团,2017-09-01,0.11,tmjt,000627.sz
601727,上海电气,2017-09-01,0.23,shdq,601727.ss
000917,电广传媒,2017-09-01,0.11,dgcm,000917.sz
603993,洛阳钼业,2017-09-01,0.18,lymy,603993.ss
600606,绿地控股,2017-09-01,0.26,ldkg,600606.ss
002558,巨人网络,2017-09-01,0.1,jrwl,002558.sz
600674,川投能源,2017-09-01,0.19,ctny,600674.ss
601229,上海银行,2017-09-01,0.15,shyh,601229.ss
600369,西南证券,2017-09-01,0.16,xnzq,600369.ss
002673,西部证券,2017-09-01,0.26,xbzq,002673.sz
002411,必康股份,2017-09-01,0.11,bkgf,002411.sz
601607,上海医药,2017-09-01,0.25,shyy,601607.ss
000338,潍柴动力,2017-09-01,0.32,wcdl,000338.sz
600085,同仁堂,2017-09-01,0.16,trt,600085.ss
600583,海油工程,2017-09-01,0.13,hygc,600583.ss
000768,中航飞机,2017-09-01,0.24,zhfj,000768.sz
600061,国投安信,2017-09-01,0.17,gtax,600061.ss
600741,华域汽车,2017-09-01,0.3,hyqc,600741.ss
000402,金 融 街,2017-09-01,0.13,jrj,000402.sz
601766,中国中车,2017-09-01,0.89,zgzc,601766.ss
002714,牧原股份,2017-09-01,0.14,mygf,002714.sz
600535,天士力,2017-09-01,0.23,tsl,600535.ss
